"State","Crop_Year","Crop","Area","Production","Fertilizer","Pesticide","Yield","Annual_Rainfall","Region"
"Kerala",2001,"Wheat",0,0,0,0,0,0,"South"
"Madhya Pradesh",2001,"Wheat",3691707,5993596,377034035.9,959843.82,1.654888889,955,"Central"
"Maharashtra",2001,"Wheat",776000,1077400,79252880,201760,1.313793103,1035.8,"West"
"Manipur",2001,"Wheat",0,0,0,0,0,0,"North-east"
"Meghalaya",2001,"Wheat",2753,4812,281163.89,715.78,1.455,4241,"North-east"
"Mizoram",2001,"Wheat",0,0,0,0,0,0,"North-east"
"Nagaland",2001,"Wheat",6000,12350,612780,1560,2.04,1532,"North-east"
"Odisha",2001,"Wheat",6976,10565,712458.88,1813.76,1.1288,1672.5,"East"
"Puducherry",2001,"Wheat",0,0,0,0,0,0,"South"
"Punjab",2001,"Wheat",3420000,15499000,349284600,889200,4.487058824,479.3,"North"
"Tamil Nadu",2001,"Wheat",0,0,0,0,0,0,"South"
"Telangana",2001,"Wheat",13793,9486,1408679.09,3586.18,0.6275,928.4,"South"
"Tripura",2001,"Wheat",1220,2455,124598.6,317.2,2.015,2284.4,"North-east"
"Uttar Pradesh",2001,"Wheat",9255937,25498002,945308845.8,2406543.62,2.729565217,849.9,"North"
"West Bengal",2001,"Wheat",434004,961533,44324828.52,112841.04,2.109444444,1556.6,"East"
"Himachal Pradesh",2001,"Wheat",366518,637068,37432483.34,95294.68,1.72,918.1,"North"
"Jammu and Kashmir",2001,"Wheat",255514,339390,26095644.82,66433.64,1.418333333,953.8,"North"
"Bihar",2001,"Wheat",2181543,4499130,222800986.6,567201.18,1.977567568,1247,"East"
"Uttarakhand",2001,"Wheat",375967,721618,38397509.71,97751.42,1.616153846,1541.3,"North"
"Jharkhand",2001,"Wheat",0,0,0,0,0,0,"East"
"Arunachal Pradesh",2001,"Wheat",3805,5341,388604.65,989.3,1.4325,2128.5,"North-east"
"Goa",2001,"Wheat",0,0,0,0,0,0,"West"
"Sikkim",2001,"Wheat",8710,10485,889552.3,2264.6,1.12,2372.5,"North-east"
"Andhra Pradesh",2002,"Wheat",11044,14898,1045535.48,2761,1.09,648.1,"South"
"Assam",2002,"Wheat",69061,77952,6538004.87,17265.25,1.152272727,1973.6,"North-east"
"Chhattisgarh",2002,"Wheat",93846,98592,8884400.82,23461.5,1.185,1001.4,"Central"
"Delhi",2002,"Wheat",19860,79718,1880146.2,4965,4.01,593.6,"North"
"Gujarat",2002,"Wheat",435600,856600,41238252,108900,2.185789474,458.4,"West"
"Haryana",2002,"Wheat",2267140,9188000,214630143.8,566785,3.947894737,353.9,"North"
"Karnataka",2002,"Wheat",246855,147748,23369762.85,61713.75,0.572142857,860.8,"South"
"Kerala",2002,"Wheat",0,0,0,0,0,0,"South"
"Madhya Pradesh",2002,"Wheat",3369481,4916044,318988766.3,842370.25,1.500666667,800.8,"Central"
"Maharashtra",2002,"Wheat",759800,983900,71930266,189950,1.234333333,967.4,"West"
"Manipur",2002,"Wheat",0,0,0,0,0,0,"North-east"
"Meghalaya",2002,"Wheat",2714,4745,256934.38,678.5,1.455,4355.3,"North-east"
"Mizoram",2002,"Wheat",0,0,0,0,0,0,"North-east"
"Nagaland",2002,"Wheat",7650,15820,724225.5,1912.5,2.0775,1536.6,"North-east"
"Odisha",2002,"Wheat",4627,5767,438038.09,1156.75,1.133636364,1102.8,"East"
"Puducherry",2002,"Wheat",0,0,0,0,0,0,"South"
"Punjab",2002,"Wheat",3375000,14175000,319511250,843750,4.13,301.8,"North"
"Tamil Nadu",2002,"Wheat",0,0,0,0,0,0,"South"
"Telangana",2002,"Wheat",11044,14898,1045535.48,2761,1.09,648.1,"South"
"Tripura",2002,"Wheat",919,1827,87001.73,229.75,2.0025,2579.8,"North-east"
"Uttar Pradesh",2002,"Wheat",9162749,23745162,867437447.8,2290687.25,2.558550725,664,"North"
"West Bengal",2002,"Wheat",405350,887437,38374484.5,101337.5,1.992777778,1629.1,"East"
"Himachal Pradesh",2002,"Wheat",359439,495558,34028090.13,89859.75,1.389166667,890.8,"North"
"Jammu and Kashmir",2002,"Wheat",244157,401900,23114343.19,61039.25,1.465,933.2,"North"
"Bihar",2002,"Wheat",2130933,4040610,201735427.1,532733.25,1.844054054,1105.8,"East"
"Uttarakhand",2002,"Wheat",374802,721653,35482505.34,93700.5,1.650769231,1610.3,"North"
"Jharkhand",2002,"Wheat",57203.69,78365,5415473.332,14300.9225,1.42125,1041.2,"East"
"Arunachal Pradesh",2002,"Wheat",4114,6250,389472.38,1028.5,1.481538462,2832.8,"North-east"
"Goa",2002,"Wheat",0,0,0,0,0,0,"West"
"Sikkim",2002,"Wheat",8330,10400,788601.1,2082.5,1.2075,2496.2,"North-east"
"Andhra Pradesh",2003,"Wheat",11928,6741,1180633.44,2862.72,0.481818182,826,"South"
"Assam",2003,"Wheat",69954,73186,6924046.92,16788.96,1.040909091,2213.7,"North-east"
"Chhattisgarh",2003,"Wheat",106109,113138,10502668.82,25466.16,1.20875,1643.7,"Central"
"Delhi",2003,"Wheat",18973,82893,1877947.54,4553.52,4.37,962.3,"North"
"Gujarat",2003,"Wheat",759500,2036500,75175310,182280,2.68875,902.5,"West"
"Haryana",2003,"Wheat",2315496,9114000,229187794.1,555719.04,3.825789474,592.3,"North"
"Karnataka",2003,"Wheat",231994,96150,22962766.12,55678.56,0.516428571,867.6,"South"
"Kerala",2003,"Wheat",0,0,0,0,0,0,"South"
"Madhya Pradesh",2003,"Wheat",4078974,7357255,403736846.5,978953.76,1.797916667,1163,"Central"
"Maharashtra",2003,"Wheat",664700,778200,65792006,159528,1.171666667,1037.4,"West"
"Manipur",2003,"Wheat",0,0,0,0,0,0,"North-east"
"Meghalaya",2003,"Wheat",862,1540,85320.76,206.88,1.49,3321.3,"North-east"
"Mizoram",2003,"Wheat",0,0,0,0,0,0,"North-east"
"Nagaland",2003,"Wheat",10000,19500,989800,2400,1.86625,1709.8,"North-east"
"Odisha",2003,"Wheat",5129,7517,507668.42,1230.96,1.377407407,1648.2,"East"
"Puducherry",2003,"Wheat",0,0,0,0,0,0,"South"
"Punjab",2003,"Wheat",3444000,14489000,340887120,826560,4.166470588,451.7,"North"
"Tamil Nadu",2003,"Wheat",0,0,0,0,0,0,"South"
"Telangana",2003,"Wheat",11928,6741,1180633.44,2862.72,0.481818182,826,"South"
"Tripura",2003,"Wheat",895,1810,88587.1,214.8,2.0275,2487.9,"North-east"
"Uttar Pradesh",2003,"Wheat",9443104,26349910,934678433.9,2266344.96,2.767428571,1075.6,"North"
"West Bengal",2003,"Wheat",425721,985686,42137864.58,102173.04,2.194444444,1526.7,"East"
"Himachal Pradesh",2003,"Wheat",365359,496930,36163233.82,87686.16,1.3625,1112.6,"North"
"Jammu and Kashmir",2003,"Wheat",250282,455540,24772912.36,60067.68,1.513333333,1430.3,"North"
"Bihar",2003,"Wheat",2076839,3688941,205565524.2,498441.36,1.747105263,1353.9,"East"
"Uttarakhand",2003,"Wheat",383387,729653,37947645.26,92012.88,1.525384615,1734.3,"North"
"Jharkhand",2003,"Wheat",60269.7,80183,5965494.906,14464.728,1.360909091,1258.3,"East"
"Arunachal Pradesh",2003,"Wheat",4150,6320,410767,996,1.511818182,2782.2,"North-east"
"Goa",2003,"Wheat",0,0,0,0,0,0,"West"
"Sikkim",2003,"Wheat",6805,8686,673558.9,1633.2,1.21,2838.1,"North-east"
"Andhra Pradesh",2004,"Wheat",9174,4605,993911.16,1926.54,0.387272727,781.8,"South"
"Assam",2004,"Wheat",63854,68083,6917942.36,13409.34,1.056956522,2536.9,"North-east"
"Chhattisgarh",2004,"Wheat",99245,85215,10752203.3,20841.45,0.963125,1122.8,"Central"
"Delhi",2004,"Wheat",18695,80800,2025416.3,3925.95,4.32,651.9,"North"
"Gujarat",2004,"Wheat",727400,1805500,78806516,152754,2.6312,719.8,"West"
"Haryana",2004,"Wheat",2316674,9043000,250988461.2,486501.54,3.774736842,484.6,"North"
"Karnataka",2004,"Wheat",241991,206296,26217304.94,50818.11,0.845333333,1117.7,"South"
"Kerala",2004,"Wheat",0,0,0,0,0,0,"South"
"Madhya Pradesh",2004,"Wheat",4188248,7320042,453754788.3,879532.08,1.7075,895.7,"Central"
"Maharashtra",2004,"Wheat",755700,1016300,81872538,158697,1.199666667,1052,"West"
"Manipur",2004,"Wheat",0,0,0,0,0,0,"North-east"
"Meghalaya",2004,"Wheat",863,1564,93497.42,181.23,1.156666667,4767.9,"North-east"
"Mizoram",2004,"Wheat",3,4,325.02,0.63,1.33,2640.8,"North-east"
"Nagaland",2004,"Wheat",8200,13000,888388,1722,1.49125,1711.5,"North-east"
"Odisha",2004,"Wheat",4054,5313,439210.36,851.34,1.266071429,1290.4,"East"
"Puducherry",2004,"Wheat",0,0,0,0,0,0,"South"
"Punjab",2004,"Wheat",3482000,14698000,377239880,731220,4.178823529,366.4,"North"
"Tamil Nadu",2004,"Wheat",0,0,0,0,0,0,"South"
"Telangana",2004,"Wheat",9174,4605,993911.16,1926.54,0.387272727,781.8,"South"
"Tripura",2004,"Wheat",944,1942,102272.96,198.24,2.0525,2706.3,"North-east"
"Uttar Pradesh",2004,"Wheat",9373402,23430044,1015514373,1968414.42,2.471714286,704,"North"
"West Bengal",2004,"Wheat",400093,841471,43346075.62,84019.53,2.104444444,1612.9,"East"
"Himachal Pradesh",2004,"Wheat",367770,687452,39844201.8,77231.7,1.843333333,939.2,"North"
"Jammu and Kashmir",2004,"Wheat",248613,474415,26934732.42,52208.73,1.814545455,1032.1,"North"
"Bihar",2004,"Wheat",2027643,3263385,219674842.6,425805.03,1.569473684,1147.8,"East"
"Uttarakhand",2004,"Wheat",387103,799221,41938739.02,81291.63,1.776923077,1219.6,"North"
"Jharkhand",2004,"Wheat",57905.58,72740,6273490.537,12160.1718,1.257727273,1149.2,"East"
"Arunachal Pradesh",2004,"Wheat",4278,6652,463478.52,898.38,1.549230769,2939.5,"North-east"
"Goa",2004,"Wheat",0,0,0,0,0,0,"West"
"Sikkim",2004,"Wheat",5740,8250,621871.6,1205.4,1.39,1650.5,"North-east"
"Andhra Pradesh",2005,"Wheat",11109,8891,1332191.28,2332.89,0.774,1075.5,"South"
"Assam",2005,"Wheat",49961,53735,5991323.12,10491.81,1.084230769,2184.6,"North-east"
"Chhattisgarh",2005,"Wheat",97074,85191,11641114.08,20385.54,1.0125,1292.7,"Central"
"Delhi",2005,"Wheat",18279,79404,2192017.68,3838.59,4.34,653.1,"North"
"Gujarat",2005,"Wheat",858800,2319200,102987296,180348,2.5792,942.4,"West"
"Haryana",2005,"Wheat",2302682,8502000,276137625.4,483563.22,3.6065,516.9,"North"
"Karnataka",2005,"Wheat",252588,226369,30290352.96,53043.48,0.880714286,1316.2,"South"
"Kerala",2005,"Wheat",0,0,0,0,0,0,"South"
"Madhya Pradesh",2005,"Wheat",3772615,6192368,452411990.8,792249.15,1.647083333,1032.7,"Central"
"Maharashtra",2005,"Wheat",932800,1300700,111861376,195888,1.329333333,1387.2,"West"
"Manipur",2005,"Wheat",0,0,0,0,0,0,"North-east"
"Meghalaya",2005,"Wheat",670,1198,80346.4,140.7,1.306666667,3374.4,"North-east"
"Mizoram",2005,"Wheat",0,0,0,0,0,0,"North-east"
"Nagaland",2005,"Wheat",1200,1920,143904,252,1.66125,1568.6,"North-east"
"Odisha",2005,"Wheat",3276,4486,392857.92,687.96,1.2124,1503.4,"East"
"Puducherry",2005,"Wheat",0,0,0,0,0,0,"South"
"Punjab",2005,"Wheat",3468000,14493000,415882560,728280,4.145294118,566.7,"North"
"Tamil Nadu",2005,"Wheat",0,0,0,0,0,0,"South"
"Telangana",2005,"Wheat",11109,8891,1332191.28,2332.89,0.774,1075.5,"South"
"Tripura",2005,"Wheat",1750,3184,209860,367.5,1.8325,1765.9,"North-east"
"Uttar Pradesh",2005,"Wheat",9163949,23573776,1098940764,1924429.29,2.538142857,751.9,"North"
"West Bengal",2005,"Wheat",366729,773514,43978141.68,77013.09,1.953333333,1650.1,"East"
"Himachal Pradesh",2005,"Wheat",358453,365885,42985683.76,75275.13,1.075833333,1248.1,"North"
"Jammu and Kashmir",2005,"Wheat",872,120,104570.24,183.12,0.14,1721.8,"North"
"Bihar",2005,"Wheat",2001771,2821120,240052378.3,420371.91,1.349736842,907.8,"East"
"Uttarakhand",2005,"Wheat",379237,642216,45478101.04,79639.77,1.353076923,1353.3,"North"
"Jharkhand",2005,"Wheat",50326.23,51263,6035121.502,10568.5083,1.023636364,965.2,"East"
"Arunachal Pradesh",2005,"Wheat",3976,6140,476801.92,834.96,1.589166667,2767,"North-east"
"Goa",2005,"Wheat",0,0,0,0,0,0,"West"
"Sikkim",2005,"Wheat",5740,9250,688340.8,1205.4,1.5525,2041.6,"North-east"
"Andhra Pradesh",2006,"Wheat",10016,8796,1279143.36,2203.52,0.68,845.2,"South"
"Assam",2006,"Wheat",59573,67413,7608067.83,13106.06,1.134444444,1774.9,"North-east"
"Chhattisgarh",2006,"Wheat",93213,93952,11904232.23,20506.86,1.06,1317.2,"Central"
"Delhi",2006,"Wheat",17884,77885,2283965.64,3934.48,4.36,462.7,"North"
"Gujarat",2006,"Wheat",1072300,2791500,136943433,235906,2.5696,1056.2,"West"
"Haryana",2006,"Wheat",2377067,10059000,303575226.6,522954.74,4.062,329.3,"North"
"Karnataka",2006,"Wheat",269494,223806,34417078.74,59288.68,0.810714286,1146.3,"South"
"Kerala",2006,"Wheat",0,0,0,0,0,0,"South"
"Madhya Pradesh",2006,"Wheat",4262382,7840446,544348805.2,937724.04,1.73125,1072.3,"Central"
"Maharashtra",2006,"Wheat",1230800,1871000,157185468,270776,1.451666667,1439.4,"West"
"Manipur",2006,"Wheat",0,0,0,0,0,0,"North-east"
"Meghalaya",2006,"Wheat",656,1183,83777.76,144.32,1.32,2454.7,"North-east"
"Mizoram",2006,"Wheat",0,0,0,0,0,0,"North-east"
"Nagaland",2006,"Wheat",1500,1250,191565,330,0.86,1362.5,"North-east"
"Odisha",2006,"Wheat",3913,5802,499729.23,860.86,1.303076923,1716.9,"East"
"Puducherry",2006,"Wheat",0,0,0,0,0,0,"South"
"Punjab",2006,"Wheat",3467000,14596000,442770570,762740,4.148421053,569.6,"North"
"Tamil Nadu",2006,"Wheat",0,0,0,0,0,0,"South"
"Telangana",2006,"Wheat",10016,8796,1279143.36,2203.52,0.68,845.2,"South"
"Tripura",2006,"Wheat",970,1845,123878.7,213.4,1.885,1764.3,"North-east"
"Uttar Pradesh",2006,"Wheat",9197642,25443428,1174630860,2023481.24,2.725428571,590.5,"North"
"West Bengal",2006,"Wheat",350621,799876,44777807.91,77136.62,2.168888889,1631.4,"East"
"Himachal Pradesh",2006,"Wheat",362245,596493,46262308.95,79693.9,1.6375,1207,"North"
"Jammu and Kashmir",2006,"Wheat",261584,494300,33406892.64,57548.48,1.821818182,1786.5,"North"
"Bihar",2006,"Wheat",2076727,4155541,265218805.2,456879.94,1.924324324,1052.8,"East"
"Uttarakhand",2006,"Wheat",377870,796548,48257777.7,83131.4,1.760769231,1178.9,"North"
"Jharkhand",2006,"Wheat",124418.04,163905,15889427.89,27371.9688,1.280454545,1465.1,"East"
"Arunachal Pradesh",2006,"Wheat",3979,6301,508158.09,875.38,1.668461538,1940,"North-east"
"Goa",2006,"Wheat",0,0,0,0,0,0,"West"
"Sikkim",2006,"Wheat",6380,10360,814789.8,1403.6,1.57,2270.2,"North-east"
"Andhra Pradesh",2007,"Wheat",8000,8000,1067200,1280,1,1004.2,"South"
"Assam",2007,"Wheat",56069,70797,7479604.6,8971.04,1.225185185,2154.1,"North-east"
"Chhattisgarh",2007,"Wheat",95020,104548,12675668,15203.2,1.299444444,1246.2,"Central"
"Delhi",2007,"Wheat",17482,76222,2332098.8,2797.12,4.36,677.5,"North"
"Gujarat",2007,"Wheat",1273900,3837700,169938260,203824,2.9304,1021.6,"West"
"Haryana",2007,"Wheat",2460680,10232000,328254712,393708.8,4.036,443.8,"North"
"Karnataka",2007,"Wheat",275583,280384,36762772.2,44093.28,1.018,1323.3,"South"
"Kerala",2007,"Wheat",0,0,0,0,0,0,"South"
"Madhya Pradesh",2007,"Wheat",4089343,6729363,545518356.2,654294.88,1.548958333,740.4,"Central"
"Maharashtra",2007,"Wheat",1252800,2371100,167123520,200448,1.782333333,1257.2,"West"
"Manipur",2007,"Wheat",0,0,0,0,0,0,"North-east"
"Meghalaya",2007,"Wheat",622,1120,82974.8,99.52,1.2425,4702,"North-east"
"Mizoram",2007,"Wheat",0,0,0,0,0,0,"North-east"
"Nagaland",2007,"Wheat",1150,1800,153410,184,1.56375,1769,"North-east"
"Odisha",2007,"Wheat",5548,8721,740103.2,887.68,1.398,1633.8,"East"
"Puducherry",2007,"Wheat",0,0,0,0,0,0,"South"
"Punjab",2007,"Wheat",3488000,15720000,465299200,558080,4.4775,527.2,"North"
"Tamil Nadu",2007,"Wheat",0,0,0,0,0,0,"South"
"Telangana",2007,"Wheat",8000,8000,1067200,1280,1,1004.2,"South"
"Tripura",2007,"Wheat",1023,1889,136468.2,163.68,1.88,2831.8,"North-east"
"Uttar Pradesh",2007,"Wheat",9114880,25679089,1215924992,1458380.8,2.723571429,672.9,"North"
"West Bengal",2007,"Wheat",352579,917284,47034038.6,56412.64,2.452222222,2007.5,"East"
"Himachal Pradesh",2007,"Wheat",366592,504360,48903372.8,58654.72,1.500833333,1095.4,"North"
"Jammu and Kashmir",2007,"Wheat",261604,494302,34897973.6,41856.64,0.9413333335,1042.2,"North"
"Bihar",2007,"Wheat",2131232,4977463,284306348.8,340997.12,2.228421053,1600.2,"East"
"Uttarakhand",2007,"Wheat",372919,798233,49747394.6,59667.04,1.673846154,1924.3,"North"
"Jharkhand",2007,"Wheat",54845.72,68534,7316419.048,8775.3152,1.432727273,1444.7,"East"
"Arunachal Pradesh",2007,"Wheat",3558,5294,474637.2,569.28,1.579230769,3223.9,"North-east"
"Goa",2007,"Wheat",0,0,0,0,0,0,"West"
"Sikkim",2007,"Wheat",4460,4460,594964,713.6,1,2003.4,"North-east"
"Andhra Pradesh",2008,"Wheat",13687,15421,1957788.48,1231.83,1.026666667,944.6,"South"
"Assam",2008,"Wheat",50053,54551,7159581.12,4504.77,1.045769231,2109.9,"North-east"
"Chhattisgarh",2008,"Wheat",94834,97424,13565055.36,8535.06,1.15,1117.9,"Central"
"Delhi",2008,"Wheat",18430,80355,2636227.2,1658.7,4.36,614.6,"North"
"Gujarat",2008,"Wheat",1091400,2592600,156113856,98226,2.349615385,746.1,"West"
"Haryana",2008,"Wheat",2461420,11360000,352081516.8,221527.8,4.437142857,715.6,"North"
"Karnataka",2008,"Wheat",268600,257181,38420544,24174,1.012857143,1164.1,"South"
"Kerala",2008,"Wheat",0,0,0,0,0,0,"South"
"Madhya Pradesh",2008,"Wheat",3997666,7272210,571826144.6,359789.94,1.764,895,"Central"
"Maharashtra",2008,"Wheat",1021800,1516400,146158272,91962,1.431666667,1052.8,"West"
"Manipur",2008,"Wheat",2050,5120,293232,184.5,2.495,1134.8,"North-east"
"Meghalaya",2008,"Wheat",416,739,59504.64,37.44,1.245,3114.3,"North-east"
"Mizoram",2008,"Wheat",0,0,0,0,0,0,"North-east"
"Nagaland",2008,"Wheat",1380,2070,197395.2,124.2,1.502222222,1540.9,"North-east"
"Odisha",2008,"Wheat",5267,7386,753391.68,474.03,1.3836,1539,"East"
"Puducherry",2008,"Wheat",0,0,0,0,0,0,"South"
"Punjab",2008,"Wheat",3466000,15733000,495776640,311940,4.5035,691.3,"North"
"Tamil Nadu",2008,"Wheat",0,0,0,0,0,0,"South"
"Telangana",2008,"Wheat",13687,15421,1957788.48,1231.83,1.026666667,944.6,"South"
"Tripura",2008,"Wheat",635,1195,90830.4,57.15,1.905,1827.8,"North-east"
"Uttar Pradesh",2008,"Wheat",9513039,28554178,1360745099,856173.51,2.959857143,891.6,"North"
"West Bengal",2008,"Wheat",306985,764528,43911134.4,27628.65,2.172777778,1560.1,"East"
"Himachal Pradesh",2008,"Wheat",359961,381180,51488821.44,32396.49,1.080833333,1357.1,"North"
"Jammu and Kashmir",2008,"Wheat",274022,492140,39196106.88,24661.98,1.435714286,1390.1,"North"
"Bihar",2008,"Wheat",2158345,4413017,308729668.8,194251.05,1.984473684,1197.7,"East"
"Uttarakhand",2008,"Wheat",379081,770934,54223746.24,34117.29,1.491538462,1363.7,"North"
"Jharkhand",2008,"Wheat",58602.34,79871,8382478.714,5274.2106,1.43625,1295.2,"East"
"Arunachal Pradesh",2008,"Wheat",3278,5169,468885.12,295.02,1.57,2244.4,"North-east"
"Goa",2008,"Wheat",0,0,0,0,0,0,"West"
"Sikkim",2008,"Wheat",3900,3500,557856,351,0.8825,2247.5,"North-east"
"Andhra Pradesh",2009,"Wheat",9872,10319,1538255.04,1678.24,0.95,711,"South"
"Assam",2009,"Wheat",60067,65301,9359639.94,10211.39,1.097037037,1727.1,"North-east"
"Chhattisgarh",2009,"Wheat",109163,118923,17009778.66,18557.71,1.301764706,956.9,"Central"
"Delhi",2009,"Wheat",21309,92480,3320368.38,3622.53,4.34,528.4,"North"
"Gujarat",2009,"Wheat",878000,2351300,136809960,149260,2.617692308,618,"West"
"Haryana",2009,"Wheat",2487756,10488000,387642139.9,422918.52,4.133809524,393,"North"
"Karnataka",2009,"Wheat",283427,263877,44163595.14,48182.59,0.919285714,1321,"South"
"Kerala",2009,"Wheat",0,0,0,0,0,0,"South"
"Madhya Pradesh",2009,"Wheat",4458995,8865378,694800600.9,758029.15,1.8538,904.1,"Central"
"Maharashtra",2009,"Wheat",1080900,1740200,168425838,183753,1.53,1002.4,"West"
"Manipur",2009,"Wheat",12000,25050,1869840,2040,2.073333333,992.5,"North-east"
"Meghalaya",2009,"Wheat",405,718,63107.1,68.85,1.25,2995.9,"North-east"
"Mizoram",2009,"Wheat",0,0,0,0,0,0,"North-east"
"Nagaland",2009,"Wheat",2010,2410,313198.2,341.7,1.198888889,1225.9,"North-east"
"Odisha",2009,"Wheat",3994,5782,622345.08,678.98,1.3456,1330.3,"East"
"Puducherry",2009,"Wheat",0,0,0,0,0,0,"South"
"Punjab",2009,"Wheat",3522000,15169000,548798040,598740,4.3205,371.3,"North"
"Tamil Nadu",2009,"Wheat",0,0,0,0,0,0,"South"
"Telangana",2009,"Wheat",9872,10319,1538255.04,1678.24,0.95,711,"South"
"Tripura",2009,"Wheat",667,1323,103931.94,113.39,1.9825,2004.2,"North-east"
"Uttar Pradesh",2009,"Wheat",9668152,27518022,1506491445,1643585.84,2.80915493,585.8,"North"
"West Bengal",2009,"Wheat",315888,846657,49221668.16,53700.96,2.401764706,1317.2,"East"
"Himachal Pradesh",2009,"Wheat",350440,324174,54605560.8,59574.8,0.933333333,969.9,"North"
"Jammu and Kashmir",2009,"Wheat",284644,286143,44353228.08,48389.48,1.167142857,751.7,"North"
"Bihar",2009,"Wheat",2116098,4403841,329730390.4,359736.66,2.076315789,889.3,"East"
"Uttarakhand",2009,"Wheat",372846,829319,58096863.72,63383.82,1.674615385,847.8,"North"
"Jharkhand",2009,"Wheat",52510,61618,8182108.2,8926.7,1.314166667,996.1,"East"
"Arunachal Pradesh",2009,"Wheat",3170,4770,493949.4,538.9,1.59,1701.9,"North-east"
"Goa",2009,"Wheat",0,0,0,0,0,0,"West"
"Sikkim",2009,"Wheat",5200,4720,810264,884,0.93,2176.6,"North-east"
"Andhra Pradesh",2010,"Wheat",10085,13143,1675219.35,2420.4,1.311818182,1297,"South"
"Assam",2010,"Wheat",44772,56216,7437076.92,10745.28,1.196666667,2578.5,"North-east"
"Chhattisgarh",2010,"Wheat",103701,121745,17225773.11,24888.24,1.395882353,1283.1,"Central"
"Delhi",2010,"Wheat",20135,87385,3344624.85,4832.4,4.34,989.5,"North"
"Gujarat",2010,"Wheat",1588600,5013400,263882346,381264,3.0388,1107.5,"West"
"Haryana",2010,"Wheat",2503963,11578000,415933293.9,600951.12,4.483333333,639.2,"North"
"Karnataka",2010,"Wheat",254755,300237,42317353.05,61141.2,1.166470588,1317.7,"South"
"Kerala",2010,"Wheat",0,0,0,0,0,0,"South"
"Madhya Pradesh",2010,"Wheat",4633125,9219781,769608393.7,1111950,1.8744,856.3,"Central"
"Maharashtra",2010,"Wheat",1306600,2300800,217039326,313584,1.709333333,1389,"West"
"Manipur",2010,"Wheat",2100,5250,348831,504,2.475,2160.5,"North-east"
"Meghalaya",2010,"Wheat",393,704,65281.23,94.32,1.2475,3119.7,"North-east"
"Mizoram",2010,"Wheat",0,0,0,0,0,0,"North-east"
"Nagaland",2010,"Wheat",3120,5340,518263.2,748.8,1.712222222,1771.8,"North-east"
"Odisha",2010,"Wheat",2857,4176,474576.27,685.68,1.3396,1291.9,"East"
"Puducherry",2010,"Wheat",0,0,0,0,0,0,"South"
"Punjab",2010,"Wheat",3510000,16472000,583046100,842400,4.6485,392.7,"North"
"Tamil Nadu",2010,"Wheat",0,0,0,0,0,0,"South"
"Telangana",2010,"Wheat",10085,13143,1675219.35,2420.4,1.311818182,1297,"South"
"Tripura",2010,"Wheat",316,637,52490.76,75.84,2.02,2348.3,"North-east"
"Uttar Pradesh",2010,"Wheat",9636540,30000632,1600725659,2312769.6,3.077222222,742.6,"North"
"West Bengal",2010,"Wheat",316808,874415,52624976.88,76033.92,2.496666667,1096,"East"
"Himachal Pradesh",2010,"Wheat",346936,534707,57629538.96,83264.64,1.539166667,1319.8,"North"
"Jammu and Kashmir",2010,"Wheat",286777,442706,47636527.47,68826.48,1.468,1352,"North"
"Bihar",2010,"Wheat",2100181,5094030,348861065.9,504043.44,2.282631579,629.2,"East"
"Uttarakhand",2010,"Wheat",371225,882920,61664184.75,89094,1.863846154,1419,"North"
"Jharkhand",2010,"Wheat",49596,54110,8238391.56,11903.04,1.091666667,694.6,"East"
"Arunachal Pradesh",2010,"Wheat",3699,5872,614440.89,887.76,1.647,2574.1,"North-east"
"Goa",2010,"Wheat",0,0,0,0,0,0,"West"
"Sikkim",2010,"Wheat",2650,2710,440191.5,636,1.03,2527,"North-east"
"Andhra Pradesh",2011,"Wheat",8255,10914,1382877.6,2724.15,1.306666667,861.9,"South"
"Assam",2011,"Wheat",40194,48592,6733298.88,13264.02,1.169615385,1743.4,"North-east"
"Chhattisgarh",2011,"Wheat",104825,135121,17560284,34592.25,1.512,1302.7,"Central"
"Delhi",2011,"Wheat",18927,82142,3170651.04,6245.91,4.34,641.3954545,"North"
"Gujarat",2011,"Wheat",1350600,4072100,226252512,445698,3.01,890.5,"West"
"Haryana",2011,"Wheat",2531302,13119000,424043711,835329.66,5.031904762,471.5409091,"North"
"Karnataka",2011,"Wheat",225472,200932,37771069.44,74405.76,0.981333333,1178.986364,"South"
"Kerala",2011,"Wheat",0,0,0,0,0,0,"South"
"Madhya Pradesh",2011,"Wheat",5248479,14537038,879225202.1,1731998.07,2.5908,852.6,"Central"
"Maharashtra",2011,"Wheat",878100,1498800,147099312,289773,1.646666667,1174.095455,"West"
"Manipur",2011,"Wheat",2150,5370,360168,709.5,2.473333333,1533.561905,"North-east"
"Meghalaya",2011,"Wheat",395,710,66170.4,130.35,1.34,4083.104545,"North-east"
"Mizoram",2011,"Wheat",0,0,0,0,0,0,"North-east"
"Nagaland",2011,"Wheat",3150,5390,527688,1039.5,1.711111111,1544.354545,"North-east"
"Odisha",2011,"Wheat",1461,2396,244746.72,482.13,1.39,1346.2,"East"
"Puducherry",2011,"Wheat",0,0,0,0,0,0,"South"
"Punjab",2011,"Wheat",3528000,17982000,591010560,1164240,5.0675,705.2,"North"
"Tamil Nadu",2011,"Wheat",0,0,0,0,0,0,"South"
"Telangana",2011,"Wheat",8255,10914,1382877.6,2724.15,1.306666667,861.9,"South"
